"","id","author","date","title","category","city","country"
"1",162176,"Content Square","2017-12-01T09:40:24Z","Fullstack Software Engineer at Content Square (Paris, France)","nodejs;javascript;angular;hapi;elasticsearch","PARIS","FRANCE"
"2",126576,"EBA CLEARING","2017-11-18T00:09:08Z","Developer.NET at EBA CLEARING (Paris, France)","net;c;angularjs;aspnet;sqlserver","PARIS","FRANCE"
"3",160908,"VALEO","2017-11-17T10:06:32Z","Ingénieur Expert Logiciel H/F at VALEO (Créteil, France)","c;c","CRÉTEIL","FRANCE"
"4",160786,"Happs","2017-11-16T13:01:12Z","Data Engineer at Happs (Paris, France)","sql;pyspark;python;scala;hive","PARIS","FRANCE"
"5",160372,"Histovery","2017-11-13T17:41:58Z","Devops - ingenieur Linux/Aws at Histovery (Paris, France)","linux;amazonwebservices;continuousintegration;hashicorp","PARIS","FRANCE"
"6",160341,"Marin Software","2017-11-13T14:49:36Z","Java Developer/ Senior Software Engineer at Marin Software (Paris, France)","java;scala;apachespark;hadoop;php","PARIS","FRANCE"
"7",146702,"AlumnForce","2017-11-13T13:08:07Z","Développeur PHP JS DATA - Projet social et humain ! at AlumnForce (Paris, France)","php;javascript;database;api;rabbitmq","PARIS","FRANCE"
"8",160314,"VALEO","2017-11-13T10:50:54Z","Ingénieur Data Analyst H/F at VALEO (Bobigny, France)","c;python;c","BOBIGNY","FRANCE"
"9",160016,"PayPlug","2017-11-09T03:03:20Z","Head of Product at PayPlug (Paris, France)","startup;saas;agile;productmanagement","PARIS","FRANCE"
"10",135175,"PeopleDoc","2017-11-08T20:14:52Z","Java Developer (Paris HQ) at PeopleDoc (Paris, France)","java;linux;postgresql;scala;ansible","PARIS","FRANCE"
"11",159992,"PeopleDoc","2017-11-08T19:59:11Z","HTML/CSS Developer (100% Remote in UK, Germany or France) at PeopleDoc (Paris, France) (allows remote)","css;html;django;emberjs","PARIS","FRANCE"
"12",159957,"Oath","2017-11-08T15:59:42Z","DevOps Engineer to support Oath's growth worldwide at Oath (Paris, France)","aws;python;java;jenkins;hadoop;sysadmin","PARIS","FRANCE"
"13",159941,"ITG","2017-11-08T14:51:37Z","Software Developer at ITG (Paris, France)","reactjs;c;net;nosql;javascript","PARIS","FRANCE"
"14",159933,"nuxeo","2017-11-08T14:22:29Z","Product Owner at nuxeo (Paris, France)","java","PARIS","FRANCE"
"15",159904,"ManoMano","2017-11-08T10:38:04Z","Expert DevOps pour future licorne ManoMano ! at ManoMano (Paris, France)","linux;puppet;docker;devops;kibana","PARIS","FRANCE"
"16",159849,"BNP Paribas","2017-11-07T16:45:06Z","Développeur FullStack Expérimenté  h/f at BNP Paribas (Paris, France)","angular;springboot;javaee;nodejs","PARIS","FRANCE"
"17",159491,"nuxeo","2017-11-03T13:58:04Z","QA Engineer at nuxeo (Paris, France)","qa;jenkins;continuousintegration","PARIS","FRANCE"
"18",159488,"nuxeo","2017-11-03T13:37:51Z","Full Stack Java Developer at nuxeo (Paris, France)","java;polymer;javascript;maven;elasticsearch","PARIS","FRANCE"
"19",159397,"PeopleDoc","2017-11-02T17:28:18Z","SaaS Engineering Manager at PeopleDoc (Paris, France)","saas;agile;python;java;devops","PARIS","FRANCE"
"20",159002,"DataBerries","2017-11-29T14:37:58Z","Java Back-end Developer (H/F) at DataBerries (Paris, France)","java;jvm;linux;googlecloudplatform;amazonwebservices","PARIS","FRANCE"
"21",157727,"Kayrros","2017-11-26T09:42:42Z","Data Engineer / Python Developer at Kayrros (Paris, France)","python;pandas;scikitlearn;apachespark","PARIS","FRANCE"
"22",156538,"CarBoat Media","2017-11-25T15:49:35Z","Développeur java confirmé H/F at CarBoat Media (Paris, France)","java;git;mongodb;angularjs;amazonwebservices","PARIS","FRANCE"
"23",161509,"autobiz","2017-11-23T11:01:14Z","Ingénieur R&D (H/F) at autobiz (Suresnes, France)","pythonx;sql;php","SURESNES","FRANCE"
"24",157957,"Port Adhoc","2017-11-19T11:03:45Z","Maintenance et évolution d'application web PHP (6 mois) at Port Adhoc (Paris, France)","php;laravel;mysql;mysqlworkbench;jquery","PARIS","FRANCE"
"25",157705,"BELIEVE DIGITAL","2017-11-16T12:47:25Z","Senior IT Project Manager at BELIEVE DIGITAL (Paris, France)","php;javascript;sql","PARIS","FRANCE"
"26",157700,"BELIEVE DIGITAL","2017-11-16T12:32:16Z","Développeur PHP at BELIEVE DIGITAL (Paris, France)","php;javascript;sql","PARIS","FRANCE"
"27",157680,"NOVENCIA Group","2017-11-16T08:24:01Z","Développeur C# WPF en salle de marchés at NOVENCIA Group (Paris, France)","wpf;c","PARIS","FRANCE"
"28",132884,"Infinite Square","2017-11-11T09:13:53Z","Architecte / Développeur Senior at Infinite Square (Paris, France)","aspnetcore;azure;angularjs;reactjs;netcore","PARIS","FRANCE"
"29",132887,"Infinite Square","2017-11-11T08:18:28Z","Développeur Web Front at Infinite Square (Paris, France)","reactjs;saas","PARIS","FRANCE"
"30",156883,"Heetch","2017-11-05T22:22:50Z","iOS Engineer (RxSwift) at Heetch (Paris, France) (allows remote)","rxswift;swift;mvvm;uikit;mapkit","PARIS","FRANCE"
"31",156878,"Heetch","2017-11-05T22:10:19Z","Backend Engineer (Golang / Elixir) at Heetch (Paris, France) (allows remote)","docker;go;elixir;rubyonrails;postgresql","PARIS","FRANCE"
"32",144379,"BNP Paribas","2017-11-05T08:27:44Z","Développeur FullStack Java Angular H/F at BNP Paribas (Montreuil, France)","angular;bootstrap;java;javaee;hibernate","MONTREUIL","FRANCE"
"33",156794,"KeyQuant","2017-11-05T08:01:10Z","Développeur .Net at KeyQuant (Paris, France)","c;net;sql;javascript","PARIS","FRANCE"
"34",156732,"Snips","2017-11-04T15:44:08Z","System Administrator - AI at Snips (Paris, France)","amazonwebservices;googlecloudplatform;ansible;scala;rust;sysadmin","PARIS","FRANCE"
"35",156729,"Snips","2017-11-04T15:41:27Z","AI Backend Engineer at Snips (Paris, France)","rest;amazonwebservices;googlecloudplatform;scala;rust","PARIS","FRANCE"
"36",156118,"ICM - Brain and Spine Institute","2017-11-27T16:24:27Z","We are looking for 2 software database developement engineers at ICM - Brain and Spine Institute (Paris-13E-Arrondissement, France)","er;uml;sql;xml;php","PARIS-13E-ARRONDISSEMENT","FRANCE"
